track_id,venue_codes,race_distance_m,split_record_sec,first_split_distance_m
GR:ballarat,BAL,390,7.83,124.94
GR:ballarat,BAL,450,6.24,96.32
GR:ballarat,BAL,545,6.5,101.0
GR:ballarat,BAL,660,12.42,207.56
GR:bendigo,BEN,425,6.36,98.48
GR:bendigo,BEN,500,6.32,97.76
GR:bendigo,BEN,660,14.75,249.5
GR:cranbourne,CRN,311,9.34,152.12
GR:cranbourne,CRN,520,5.25,78.5
GR:cranbourne,CRN,699,7.13,112.34
GR:geelong,GEL,400,8.1,129.8
GR:geelong,GEL,460,6.12,94.16
GR:geelong,GEL,520,5.05,74.9
GR:geelong,GEL,596,9.18,149.24
GR:geelong,GEL,680,18.01,308.18
GR:healesville,HVL,300,3.51,47.18
GR:healesville,HVL,350,6.32,97.76
GR:horsham,HOR,410,10.08,165.44
GR:horsham,HOR,485,6.22,95.96
GR:sale,SLE,440,5.07,75.26
GR:sale,SLE,520,9.18,149.24
GR:sale,SLE,650,6.02,92.36
GR:sandown-park,SAP;SAN,515,4.9,72.2
GR:sandown-park,SAP;SAN,595,8.97,145.46
GR:sandown-park,SAP;SAN,715,5.95,91.1
GR:shepparton,SHP,390,8.08,129.44
GR:shepparton,SHP,450,6.33,97.94
GR:shepparton,SHP,650,17.07,291.26
GR:the-meadows,MEP;MEA,525,4.89,72.02
GR:the-meadows,MEP;MEA,600,8.79,142.22
GR:the-meadows,MEP;MEA,725,4.84,71.12
GR:traralgon,TRA,315,4.67,68.06
GR:traralgon,TRA,395,4.62,67.16
GR:traralgon,TRA,525,4.67,68.06
GR:traralgon,TRA,595,8.34,134.12
GR:traralgon,TRA,665,12.19,203.42
GR:warragul,WGL,400,8.08,129.44
GR:warragul,WGL,460,6.26,96.68
GR:warragul,WGL,680,18.03,308.54
GR:warrnambool,WBL,390,8.3,133.4
GR:warrnambool,WBL,450,6.36,98.48
GR:warrnambool,WBL,650,16.51,281.18
