track_id,code,code_name,latitude,longitude,geometry_trusted,circumference_m,turn_radius_m,camber_pct,home_straight_m,first_turn_m,run_home_m,surface,sprint_lane,straight_track,geometry_note,camber_note,first_turn_note
Corowa,TB,thoroughbred,-36.019306,146.386288,False,,,,,,,,,,,,
GR:ballarat,GR,greyhound,,,True,,59.0,,,,,,,,,,
GR:bendigo,GR,greyhound,,,True,,64.0,,,,,,,,,,
GR:capalaba,GR,greyhound,,,,366.0,,,,,,grass,,,"STRAIGHT track: start->S1 16m, S1->S2 75m (91m cum), S2->finish 275m, total 366m",,
GR:cranbourne,GR,greyhound,,,,,,,,,,,,,,,
GR:geelong,GR,greyhound,,,True,,51.0,,,,,,,,,,
GR:healesville,GR,greyhound,,,,,,,,,,,,True,no turn radius - straight track (GRV confirmed),,
GR:horsham,GR,greyhound,,,True,625.0,50.2,,,90.0,160.0,,,,,,410m start -> 90m to first turn; 485m start -> 165m; width 5.7-6.5m; bends 50.2m (matches GRV body figure)
GR:nowra,GR,greyhound,,,True,460.0,53.0,,,,,loam/sand,,,both turns 53m; track width 6m; distances 365/520/630/722m; run-home annotations 70m/60m (unlabelled),,
GR:q-straight,GR,greyhound,,,,350.0,,,,,,sand,,True,,,
GR:richmond,GR,greyhound,,,True,463.0,52.85,,,,,loam,,,diagram at distances 320/401/520/622/722m,,
GR:sale,GR,greyhound,,,True,,51.0,,,,,,,,,,
GR:sandown-park,GR,greyhound,,,True,,51.0,,,,,,,,,,
GR:shepparton,GR,greyhound,,,True,,58.0,,,,,,,,,,
GR:the-meadows,GR,greyhound,,,True,,52.4,,,,,,,,,,
GR:traralgon,GR,greyhound,,,True,,55.0,,,,,,,,,,
GR:warragul,GR,greyhound,,,True,,60.0,,,,,,,,,,
GR:warrnambool,GR,greyhound,,,True,,59.0,,,,,,,,,,
H:albion-park,H,harness,,,True,1019.0,92.0,,197.0,,,,True,,,,
H:ballarat,H,harness,,,True,1000.0,80.0,,248.0,,,,False,,,,
H:bankstown,H,harness,,,True,805.0,68.0,,187.0,,,,False,,,,
H:bathurst,H,harness,,,True,,109.0,,,,,,True,,,,
H:bendigo,H,harness,,,True,1000.0,110.0,,185.0,,,,True,,,,
H:boort,H,harness,,,True,712.0,64.0,,151.0,,,,True,,,,
H:broken-hill,H,harness,,,True,,51.0,,,,,,False,,,,
H:bunbury,H,harness,,,True,960.0,87.0,,205.0,,,,True,,,,
H:carrick,H,harness,,,,1000.0,,,180.0,,,,False,,,,
H:cobram,H,harness,,,True,,97.0,,200.0,,,,True,,,,
H:cowra,H,harness,,,,,,,150.0,,,,False,,,,
H:cranbourne,H,harness,,,True,946.0,80.0,,221.0,,,,True,,,,
H:devonport,H,harness,,,True,735.0,83.0,,110.0,,,,False,,,,
H:dubbo,H,harness,,,True,804.5,76.0,,121.0,,,crushed granite,False,,,,
H:echuca,H,harness,,,True,,76.0,,164.0,,,,True,,,,
H:geelong,H,harness,,,True,960.0,81.0,,200.0,,,,True,,,,
H:gloucester-park,H,harness,,,True,,82.0,,143.0,,,,False,,,,
H:goulburn,H,harness,,,True,1050.0,105.0,10.0,196.0,171.0,,crusher dust,False,,,,"~171m from 1710m/2760m starts, ~140m from 2240m start; straights camber 4%"
H:gunbower,H,harness,,,True,,108.0,,273.0,,,,True,,,,
H:hamilton,H,harness,,,True,1000.0,100.0,,185.0,,,,True,,,,
H:hobart,H,harness,,,True,970.0,80.0,,200.0,,,,True,,,,
H:kilmore,H,harness,,,True,1000.0,85.0,,204.0,,,,True,,,,
H:king-island,H,harness,,,,1570.0,,,220.0,,,,False,,,,
H:launceston,H,harness,,,True,1018.0,95.0,,220.0,,,,False,,,,
H:leeton,H,harness,,,True,804.0,82.0,,120.0,,,,False,,,,
H:maitland,H,harness,,,True,,77.0,,140.0,,,,False,,,,
H:marburg,H,harness,,,True,700.0,71.0,,150.0,,,crusher dust,False,,radius per [name removed]; Bennett+Bennett survey VER_3 at,,
H:maryborough,H,harness,,,True,1000.0,84.0,12.5,210.0,,,"bluestone dust base, quartz sand top",True,,,"12.5% turns, 2-3% straights",
H:melton,H,harness,,,True,1040.0,110.0,14.0,205.0,80.0,,washed quartz sand 5mm on crusher dust base,,,,,
H:mildura,H,harness,,,True,810.0,70.0,,183.0,,,,False,,,,
H:newcastle,H,harness,,,True,931.88,80.0,7.0,188.45,,,crushed rock,False,,,3% straights to 7% turns; mobile 1609/2030/2550m,
H:northam,H,harness,,,,825.0,,,140.0,,,,True,,,,
H:ouyen,H,harness,,,True,769.0,74.0,,151.0,,,,True,,,,
H:parkes,H,harness,,,True,767.0,60.0,,196.0,,,,False,,,,
H:penrith,H,harness,,,True,,78.0,,130.0,,,,False,,,,
H:pinjarra,H,harness,,,True,,90.0,,217.0,,,,True,,,,
H:port-pirie,H,harness,,,True,,95.0,,170.0,,,,True,,,,
H:redcliffe,H,harness,,,True,,72.0,,170.0,,,,True,,,,
H:scottsdale,H,harness,,,,740.0,,,80.0,,,,False,,,,
H:shepparton,H,harness,,,True,1000.0,100.0,10.0,200.0,190.0,,washed sand/crushed quartz on bluestone dust base,True,,,"10% turns, 5% straights; width ~16m, 7 across front row; sprint lane in operation",
H:stawell,H,harness,,,True,813.0,66.0,,189.0,,,,True,,,,
H:swan-hill,H,harness,,,True,1040.0,100.0,,205.0,,,,True,,,,
H:tamworth,H,harness,,,True,750.0,72.0,,150.0,,,,False,,,,
H:terang,H,harness,,,True,1000.0,91.0,,200.0,,,granitic sand,True,,,,
H:wagga,H,harness,,,True,,75.0,,165.0,,,,True,,,,
H:wagin,H,harness,,,,814.0,,,167.0,,,,False,,,,
H:warragul,H,harness,,,True,837.0,86.0,,147.0,,,,True,,,,
H:wedderburn,H,harness,,,True,,70.0,,178.0,,,,True,,,,
H:yarra-valley,H,harness,,,True,1000.0,102.0,,180.0,,,,True,,,,
H:young,H,harness,,,True,,66.0,,,,,,False,,,,
