track_id,code,osm_way,osm_closed,osm_perimeter_m,straight_bearing_1_deg,straight_bearing_2_deg,straight_length_1_m,straight_length_2_m,home_straight_deg,back_straight_deg
Corowa,TB,308830620,True,702,173.9,357.1,255.9,200.5,,
Mudgee,TB,291605356,True,1663,284.6,107.9,447.0,442.3,,
Scone,TB,86993079,True,1812,144.9,324.9,501.9,488.6,324.9,144.9
Taree,TB,345718587,True,3113,98.8,191.2,548.6,546.7,,
Wyong,TB,186090805,True,3032,57.6,279.4,520.5,398.6,,
albion-park,H,1112409620,True,402,353.5,,105.9,,,
albury,TB,237757730,True,3157,190.3,279.2,721.9,580.1,,
ararat,H,338116088,True,1956,118.4,329.9,437.9,325.8,,
ascot,TB,143752287,True,2495,288.4,115.6,529.7,473.7,,
bairnsdale,TB,166553261,True,844,298.7,117.4,211.6,201.4,,
balaklava,TB,544211969,True,3057,181.0,4.9,863.0,851.5,,
ballarat,TB,241887101,True,1897,318.5,119.9,602.3,490.3,,
bathurst,H,380745781,True,1109,130.2,309.4,230.9,225.6,130.2,309.4
beaudesert,TB,176300013,True,2979,10.4,202.7,418.5,358.4,,
belmont,TB,143752287,True,2495,288.4,115.6,529.7,473.7,,
belmont-park,TB,143752287,True,2495,288.4,115.6,529.7,473.7,,
bendigo,TB,352040812,True,1709,346.8,165.6,537.1,499.3,,
broome,TB,242338987,True,1913,245.8,68.9,475.0,417.5,,
bulli,GR,30250056,True,826,336.8,161.0,210.0,203.8,,
bunbury,TB,165169735,True,1852,351.2,125.9,477.1,401.5,,
cairns,TB,642027443,True,2598,221.6,5.6,783.3,647.5,,
canberra,TB,30974069,True,3148,225.1,50.3,675.1,492.6,,
canterbury,TB,220462768,True,2357,322.5,176.8,881.7,432.9,176.8,322.5
capalaba,GR,798306355,True,767,0.2,176.3,224.0,152.6,,
casino,GR,1370140039,True,526,110.8,272.2,264.9,197.2,,
casterton,TB,190725131,True,2984,183.1,6.4,496.3,457.9,,
caulfield,TB,46418586,True,3258,170.8,8.7,899.1,793.2,,
darwin,TB,314762193,True,2555,173.6,312.3,568.8,549.9,,
devonport,TB,395476298,True,2235,13.2,280.1,602.1,568.1,,
doomben,TB,126048444,True,1777,10.6,278.6,272.9,260.7,,
dubbo,GR,619945785,True,578,103.0,280.3,211.5,211.0,,
flemington,TB,5077842,True,2564,276.0,100.4,862.9,618.1,,
geelong,TB,51071778,True,1885,264.2,84.2,1599.4,285.6,,
gold-coast,TB,19606707,True,3061,278.7,98.6,656.0,361.1,,
gosford,TB,50161742,True,2389,341.0,189.5,703.9,677.5,,
grafton,GR,369837540,True,615,30.6,196.6,175.7,130.0,,
gundagai,TB,229236162,True,664,276.5,98.1,153.8,140.2,,
gympie,TB,24314579,True,2241,352.1,133.7,699.9,503.5,,
hamilton,TB,1274840296,True,849,197.7,7.5,234.1,225.1,,
hawkesbury,TB,285881640,True,403,111.1,289.3,117.5,93.2,,
hobart,H,730665872,True,219,,,,,,
ipswich,TB,333416156,True,1690,111.3,255.8,403.3,396.1,111.3,255.8
kembla-grange,TB,473887491,True,1381,232.3,59.4,433.4,431.2,232.3,59.4
kilcoy,TB,161935526,True,2492,81.8,235.2,426.3,218.8,,
kyneton,TB,71299482,True,2359,94.5,178.6,340.8,223.9,178.6,94.5
launceston,TB,71883600,True,2535,100.3,58.6,503.2,479.5,,
leeton,H,366945099,True,1745,189.8,75.0,430.1,297.5,,
lismore,TB,914358643,True,657,76.9,339.0,123.7,116.6,,
mackay,TB,182539603,True,2008,97.3,6.2,368.0,334.3,,
maitland,GR,1159117753,True,477,18.2,190.5,146.9,130.2,190.5,18.2
menangle,H,175815737,True,1447,11.3,192.6,730.1,467.0,,
mildura,H,749101528,True,206,,,,,,
moonee-valley,TB,5077842,True,2564,276.0,100.4,862.9,618.1,100.4,276.0
mornington,TB,28483920,True,3209,19.9,199.9,1086.7,1085.9,,
morphettville,TB,1037464145,True,1731,59.7,242.9,523.3,424.5,,
murtoa,TB,112317981,True,2851,356.3,92.7,746.5,740.7,,
muswellbrook,TB,87019449,True,2536,278.5,168.1,486.4,418.2,,
newcastle,TB,60725903,True,758,46.7,226.2,94.0,92.7,,
nowra,TB,1447022915,True,2715,254.3,31.3,464.4,272.1,,
pakenham,TB,330035364,True,6197,359.5,273.9,1280.7,689.9,,
parkes,H,369088254,True,734,101.2,278.5,198.5,183.8,,
penrith,H,117926627,True,1337,291.2,226.8,331.1,311.5,,
pinjarra,TB,50347558,False,1384,300.2,,1384.0,,,
port-augusta,TB,157800921,True,2111,139.1,25.6,447.4,317.5,,
port-macquarie,TB,386416052,True,392,,,,,,
randwick,TB,296110286,True,524,224.3,19.9,156.3,85.9,,
redcliffe,H,443026577,True,1177,99.4,11.5,247.5,231.6,,
richmond,GR,258077781,True,535,10.8,193.8,129.7,124.6,,
sapphire-coast,TB,157964396,True,3266,322.4,143.1,710.7,418.4,,
scone,TB,86993079,True,1812,144.9,324.9,501.9,488.6,324.9,144.9
seymour,TB,383899015,True,1776,174.8,8.5,694.9,373.6,,
sunshine-coast,TB,670801400,True,532,267.7,86.9,130.0,126.7,,
tamworth,H,431660569,True,2449,89.0,9.4,425.6,366.6,,
taree,TB,345718587,True,3113,98.8,191.2,548.6,546.7,,
toowoomba,TB,42295138,True,2490,279.1,99.1,721.2,562.6,,
townsville,GR,903067959,False,674,255.4,40.9,452.5,145.2,,
wagga,TB,347881580,True,3321,160.1,338.1,603.2,425.0,,
wangaratta,TB,301180872,True,2825,232.6,100.4,794.3,624.6,,
warracknabeal,TB,130006392,True,2346,90.2,353.0,676.3,472.3,,
warrnambool,TB,1108098294,True,1612,317.6,134.9,440.8,369.7,,
warwick,TB,497285533,True,2534,272.5,98.7,823.3,816.2,,
warwick-farm,TB,712067373,False,189,138.9,,148.6,,,
wodonga,TB,55553149,True,1824,183.2,3.2,1285.1,538.9,,
wyong,TB,186090805,True,3032,57.6,279.4,520.5,398.6,,
