track_id,field,source,source_class,licence_family
Corowa,camber_pct,NOT PUBLISHED — camber is not derivable from a plan-view trace,absent,ODC-BY (this dataset)
Corowa,circumference_m,"REJECTED — traced perimeter 702m is outside the plausible TB lap band 1200-2600m — this way is a partial trace, inner rail or fence",other,ODC-BY (this dataset)
Corowa,geometry,"OpenStreetMap way/308830620 (ODbL), geocoded as, fetched 2026-09-01",openstreetmap,ODbL (OpenStreetMap)
Corowa,home_straight_deg,"NOT DETERMINED — no grandstand mapped in OSM, so which straight is the home straight is unresolved. Left null rather than guessed: a 50/50 guess inverts every headwind into a tailwind.",absent,ODbL (OpenStreetMap)
Corowa,turn_radius_m,REJECTED — a circle fitted to a way that is not the track is not the track's radius,other,ODC-BY (this dataset)
GR:ballarat,first_split_table,"BODY-CONFIRMED: ([name removed], Greyhound Racing Victoria, 2026-08-31) —",club_or_body_direct,ODC-BY (this dataset)
GR:ballarat,turn_radii_all_m,"BODY-CONFIRMED: [name removed], GRV, 2026-08-20+27 (uids 841/976)",club_or_body_direct,ODC-BY (this dataset)
GR:ballarat,turn_radius_m,"BODY-CONFIRMED: [name removed], GRV, 2026-08-20+27 (uids 841/976)",club_or_body_direct,ODC-BY (this dataset)
GR:bendigo,first_split_table,"BODY-CONFIRMED: ([name removed], Greyhound Racing Victoria, 2026-08-31) —",club_or_body_direct,ODC-BY (this dataset)
GR:bendigo,turn_radii_all_m,"BODY-CONFIRMED: [name removed], GRV, 2026-08-20+27 (uids 841/976)",club_or_body_direct,ODC-BY (this dataset)
GR:bendigo,turn_radius_m,"BODY-CONFIRMED: [name removed], GRV, 2026-08-20+27 (uids 841/976)",club_or_body_direct,ODC-BY (this dataset)
GR:capalaba,circumference_m,"CLUB-CONFIRMED: [name removed], 2026-08-28 (uid 1007)",club_or_body_direct,ODC-BY (this dataset)
GR:capalaba,geometry_note,"CLUB-CONFIRMED: [name removed], 2026-08-28 (uid 1007)",club_or_body_direct,ODC-BY (this dataset)
GR:capalaba,surface,"CLUB-CONFIRMED: [name removed], 2026-08-28 (uid 1007)",club_or_body_direct,ODC-BY (this dataset)
GR:cranbourne,first_split_table,"BODY-CONFIRMED: ([name removed], Greyhound Racing Victoria, 2026-08-31) —",club_or_body_direct,ODC-BY (this dataset)
GR:geelong,first_split_table,"BODY-CONFIRMED: ([name removed], Greyhound Racing Victoria, 2026-08-31) —",club_or_body_direct,ODC-BY (this dataset)
GR:geelong,turn_radii_all_m,"BODY-CONFIRMED: [name removed], GRV, 2026-08-20+27 (uids 841/976)",club_or_body_direct,ODC-BY (this dataset)
GR:geelong,turn_radius_m,"BODY-CONFIRMED: [name removed], GRV, 2026-08-20+27 (uids 841/976)",club_or_body_direct,ODC-BY (this dataset)
GR:healesville,first_split_table,"BODY-CONFIRMED: ([name removed], Greyhound Racing Victoria, 2026-08-31) —",club_or_body_direct,ODC-BY (this dataset)
GR:healesville,geometry_note,"BODY-CONFIRMED: [name removed], GRV, 2026-08-20+27 (uids 841/976)",club_or_body_direct,ODC-BY (this dataset)
GR:healesville,straight_track,"BODY-CONFIRMED: [name removed], GRV, 2026-08-20+27 (uids 841/976)",club_or_body_direct,ODC-BY (this dataset)
GR:horsham,circumference_m,"CLUB-CONFIRMED: [name removed], [name removed], 2026-08-26 (Track-Data uid 13)",club_or_body_direct,ODC-BY (this dataset)
GR:horsham,first_split_table,"BODY-CONFIRMED: ([name removed], Greyhound Racing Victoria, 2026-08-31) —",club_or_body_direct,ODC-BY (this dataset)
GR:horsham,first_turn_m,"CLUB-CONFIRMED: [name removed], [name removed], 2026-08-26 (Track-Data uid 13)",club_or_body_direct,ODC-BY (this dataset)
GR:horsham,first_turn_note,"CLUB-CONFIRMED: [name removed], [name removed], 2026-08-26 (Track-Data uid 13)",club_or_body_direct,ODC-BY (this dataset)
GR:horsham,run_home_m,"CLUB-CONFIRMED: [name removed], [name removed], 2026-08-26 (Track-Data uid 13)",club_or_body_direct,ODC-BY (this dataset)
GR:horsham,turn_radii_all_m,"BODY-CONFIRMED: [name removed], GRV, 2026-08-20+27 (uids 841/976)",club_or_body_direct,ODC-BY (this dataset)
GR:horsham,turn_radius_m,"BODY-CONFIRMED: [name removed], GRV, 2026-08-20+27 (uids 841/976)",club_or_body_direct,ODC-BY (this dataset)
GR:nowra,circumference_m,"CLUB-CONFIRMED: [name removed], [name removed], track-details PDF, 2026-08-28 (uid 1004)",club_or_body_direct,ODC-BY (this dataset)
