date,track_id,latitude,longitude,precip_mm,rain_mm,temp_max_c,temp_min_c,wind_max_kmh,gust_max_kmh
2023-01-01,albion-park,-34.569,150.777837,2.2,2.2,24.4,18.0,16.5,38.2
2023-01-01,albury,-36.061895,146.953324,0.1,0.1,31.7,19.0,11.6,28.8
2023-01-01,ascot,-31.94428,115.891286,0.0,0.0,29.0,16.6,36.1,61.6
2023-01-01,bairnsdale,-37.844666,147.604877,0.1,0.1,31.4,16.1,12.9,29.2
2023-01-01,balaklava,-34.150916,138.40848,0.0,0.0,37.7,18.4,20.2,37.1
2023-01-01,ballarat,-37.471468,143.816337,0.0,0.0,31.4,17.7,18.9,45.0
2023-01-01,bathurst,-33.449751,149.575072,7.3,7.3,23.3,13.5,13.0,32.4
2023-01-01,belmont,-31.94428,115.891286,0.0,0.0,29.0,16.6,36.1,61.6
2023-01-01,belmont-park,-31.94428,115.891286,0.0,0.0,29.0,16.6,36.1,61.6
2023-01-01,bendigo,-36.722445,144.319523,0.0,0.0,34.4,19.0,19.9,38.5
2023-01-01,broome,-17.976781,122.185879,18.2,18.2,29.4,26.4,28.8,49.3
2023-01-01,bunbury,-33.356249,115.645303,0.0,0.0,27.8,13.7,30.3,52.2
2023-01-01,cairns,-16.946931,145.746389,23.6,23.6,30.3,23.7,9.7,28.1
2023-01-01,canberra,-35.23258,149.13947,0.8,0.8,26.1,14.7,14.8,30.2
2023-01-01,canterbury,-33.905905,151.114635,0.7,0.7,25.3,19.0,21.1,42.1
2023-01-01,capalaba,-27.532325,153.168135,0.7,0.7,26.4,20.4,19.2,44.3
2023-01-01,casino,-28.880928,153.046396,2.3,2.3,27.3,17.9,17.3,37.4
2023-01-01,casterton,-37.603181,141.413821,0.0,0.0,36.2,14.5,25.4,49.3
2023-01-01,caulfield,-37.879556,145.03934,0.0,0.0,34.1,16.0,19.8,38.5
2023-01-01,corowa,-36.019306,146.386288,0.0,0.0,32.9,20.1,17.3,33.5
2023-01-01,darwin,-12.424144,130.845891,14.5,14.5,30.1,26.0,47.5,85.7
2023-01-01,devonport,-41.210911,146.34106,1.9,1.9,23.0,16.8,18.4,42.5
2023-01-01,doomben,-27.438046,153.045621,1.0,1.0,27.8,18.7,17.0,34.6
2023-01-01,dubbo,-32.230532,148.633002,0.0,0.0,32.1,18.8,21.6,38.9
2023-01-01,flemington,-37.765542,144.931594,0.0,0.0,34.4,15.9,23.7,43.9
2023-01-01,geelong,-38.175462,144.375141,0.0,0.0,34.4,17.0,18.7,36.0
2023-01-01,gold-coast,-28.005253,153.407031,1.4,1.4,25.0,19.8,20.7,42.8
2023-01-01,gosford,-33.421928,151.324777,1.2,1.2,25.7,18.3,16.7,38.2
2023-01-01,gundagai,-35.072799,148.119815,1.1,1.1,28.2,16.7,16.6,32.0
2023-01-01,hamilton,-37.734307,141.990052,0.0,0.0,35.2,15.3,22.5,47.2
2023-01-01,hawkesbury,-33.63663,150.775727,6.8,6.8,27.3,17.9,13.1,33.1
2023-01-01,ipswich,-27.615605,152.804765,1.1,1.1,28.7,18.6,17.7,38.5
2023-01-01,kembla-grange,-34.483267,150.822606,1.0,1.0,24.6,18.0,16.8,36.0
2023-01-01,kyneton,-37.237009,144.442179,0.0,0.0,31.2,17.8,18.9,37.4
2023-01-01,launceston,-41.403715,147.140108,1.8,1.8,25.3,17.0,22.2,47.2
2023-01-01,lismore,-28.793331,153.274695,1.5,1.5,27.2,17.4,15.9,38.9
2023-01-01,melton,-37.6833,144.5833,0.0,0.0,34.2,15.5,20.9,36.7
2023-01-01,menangle,-34.102835,150.741988,2.2,2.2,24.8,16.5,15.9,37.4
2023-01-01,mildura,-34.196584,142.176795,0.0,0.0,38.5,23.7,15.8,34.6
2023-01-01,moonee-valley,-37.765542,144.931594,0.0,0.0,34.4,15.9,23.7,43.9
2023-01-01,mornington,-38.236101,145.070331,0.0,0.0,32.7,17.9,17.4,38.2
2023-01-01,morphettville,-34.977824,138.542622,0.0,0.0,32.5,17.4,18.8,32.8
2023-01-01,mudgee,-32.581935,149.597316,0.6,0.6,28.0,15.9,18.1,41.8
2023-01-01,muswellbrook,-32.281053,150.862854,0.4,0.4,28.5,17.9,20.9,46.1
2023-01-01,newcastle,-32.939478,151.628574,0.3,0.3,26.3,19.7,19.8,43.9
2023-01-01,nowra,-34.902361,150.588386,0.7,0.7,26.1,16.2,16.7,37.4
2023-01-01,pakenham,-38.096681,145.608063,0.0,0.0,34.3,15.4,13.0,29.2
2023-01-01,parkes,-33.123979,148.183188,0.3,0.3,30.5,19.4,24.3,40.7
2023-01-02,albion-park,-34.569,150.777837,0.2,0.2,26.0,18.3,22.2,49.0
2023-01-02,albury,-36.061895,146.953324,3.1,3.1,26.5,21.4,13.0,27.0
2023-01-02,ascot,-31.94428,115.891286,0.0,0.0,35.1,16.2,27.4,43.2
2023-01-02,bairnsdale,-37.844666,147.604877,1.9,1.9,32.5,18.5,18.5,42.1
2023-01-02,balaklava,-34.150916,138.40848,0.0,0.0,30.3,16.5,24.7,46.4
2023-01-02,ballarat,-37.471468,143.816337,11.1,11.1,29.4,13.3,22.3,48.6
2023-01-02,bathurst,-33.449751,149.575072,0.1,0.1,27.4,13.4,13.4,30.2
2023-01-02,belmont,-31.94428,115.891286,0.0,0.0,35.1,16.2,27.4,43.2
2023-01-02,belmont-park,-31.94428,115.891286,0.0,0.0,35.1,16.2,27.4,43.2
2023-01-02,bendigo,-36.722445,144.319523,1.1,1.1,28.9,17.9,19.5,44.6
2023-01-02,broome,-17.976781,122.185879,42.1,42.1,29.4,26.2,38.0,65.2
2023-01-02,bunbury,-33.356249,115.645303,0.0,0.0,30.5,14.0,25.7,43.9
2023-01-02,cairns,-16.946931,145.746389,54.8,54.8,30.0,24.2,7.2,28.8
2023-01-02,canberra,-35.23258,149.13947,0.6,0.6,26.7,13.6,21.7,44.6
2023-01-02,canterbury,-33.905905,151.114635,0.0,0.0,26.2,17.9,26.1,50.8
2023-01-02,capalaba,-27.532325,153.168135,0.8,0.8,26.4,19.1,17.9,42.1
2023-01-02,casino,-28.880928,153.046396,1.2,1.2,28.2,17.5,14.8,31.7
2023-01-02,casterton,-37.603181,141.413821,0.0,0.0,24.7,15.0,19.8,41.8
2023-01-02,caulfield,-37.879556,145.03934,4.5,4.5,29.4,17.3,38.0,64.8
2023-01-02,corowa,-36.019306,146.386288,6.7,6.7,26.3,21.6,18.4,33.8
2023-01-02,darwin,-12.424144,130.845891,29.1,29.1,29.3,25.6,43.8,79.6
2023-01-02,devonport,-41.210911,146.34106,0.1,0.1,25.7,16.2,16.7,41.4
2023-01-02,doomben,-27.438046,153.045621,1.9,1.9,27.4,17.8,15.8,31.7
2023-01-02,dubbo,-32.230532,148.633002,0.1,0.1,33.3,18.6,18.0,34.6
2023-01-02,flemington,-37.765542,144.931594,10.7,10.7,29.8,16.9,36.7,65.2
2023-01-02,geelong,-38.175462,144.375141,5.0,5.0,24.8,16.4,26.8,51.5
2023-01-02,gold-coast,-28.005253,153.407031,0.5,0.5,26.1,19.7,20.9,43.2
2023-01-02,gosford,-33.421928,151.324777,0.0,0.0,27.4,17.1,19.6,45.4
